created_at,Instrument,GV1_DATE,is_step,case_up,expected_tp,Pcase,GEN_VAL3,3.5,3.75,4.0,4.25,4.5,4.75,5.0,5.25,5.5,5.75,6.0,datehour,date
2023-08-16 02:00:08.213876,USIRP25F1=R,2023-09-20,,True,5.4037,,5.375,,,,,,,,,88.5,11.5,,2023-08-16_02,2023-08-16
2023-08-16 02:00:08.213876,USIRP25F2=R,2023-11-01,False,True,5.471,26.896000000000004,5.375,,,,,,,,,64.7,32.2,3.1,2023-08-16_02,2023-08-16
2023-08-16 02:00:08.213876,USIRP25F3=R,2023-12-13,False,False,5.4488,8.896,5.375,,,,,,,,5.8,61.8,29.6,2.8,2023-08-16_02,2023-08-16
2023-08-16 02:00:08.213876,USIRP25F4=R,2024-01-31,False,False,5.3812,27.0,5.375,,,,,,,1.6,20.9,53.1,22.4,2.1,2023-08-16_02,2023-08-16
2023-08-16 02:00:08.213876,USIRP25F5=R,2024-03-20,False,False,5.2787,41.0,5.375,,,,,,0.6,9.5,34.1,40.5,14.0,1.2,2023-08-16_02,2023-08-16
2023-08-16 02:00:08.213876,USIRP25F6=R,2024-05-01,False,False,5.1496,51.66,5.375,,,,,0.3,5.2,22.2,37.4,26.8,7.4,0.6,2023-08-16_02,2023-08-16
2023-08-16 02:00:08.213876,USIRP25F7=R,2024-06-12,False,False,4.9838,66.32,5.375,,,,0.2,3.6,16.5,32.3,30.4,14.0,2.9,0.2,2023-08-16_02,2023-08-16
2023-08-16 02:00:08.213876,USIRP25F8=R,2024-07-31,False,False,4.8113,69.0,5.375,,,0.2,2.5,12.5,27.4,31.0,19.1,6.3,1.0,0.1,2023-08-16_02,2023-08-16
2023-08-16 02:00:08.213876,USIRP25F9=R,2024-09-18,False,False,4.6138,79.00000000000003,5.375,,0.1,2.0,10.4,24.3,30.2,21.6,9.0,2.1,0.3,0.0,2023-08-16_02,2023-08-16
2023-08-16 02:00:08.213876,USIRP25F10=R,2024-11-07,False,False,4.4344,71.75999999999999,5.375,0.1,1.5,8.0,20.3,28.5,24.0,12.5,4.1,0.8,0.1,0.0,2023-08-16_02,2023-08-16
2023-08-16 02:00:08.213876,USIRP25F11=R,2024-12-18,False,False,4.284,60.15999999999997,5.375,0.9,5.4,15.4,25.3,25.8,17.1,7.5,2.1,0.4,0.0,0.0,2023-08-16_02,2023-08-16
