created_at,Instrument,GV1_DATE,is_step,case_up,expected_tp,Pcase,GEN_VAL3,4.0,4.25,4.5,4.75,5.0,5.25,5.5,5.75,6.0,3.25,3.5,3.75,datehour,date
2023-07-26 00:00:05.676848,USIRP25F1=R,2023-07-26,,True,5.3679,,5.125,,,,,,2.8,97.2,,,,,,2023-07-26_00,2023-07-26
2023-07-26 00:00:05.676848,USIRP25F2=R,2023-09-20,False,True,5.4179,20.0,5.125,,,,,,2.2,78.3,19.4,,,,,2023-07-26_00,2023-07-26
2023-07-26 00:00:05.676848,USIRP25F3=R,2023-11-01,False,True,5.4852,26.89600000000001,5.125,,,,,,1.6,57.9,35.3,5.2,,,,2023-07-26_00,2023-07-26
2023-07-26 00:00:05.676848,USIRP25F4=R,2023-12-13,False,False,5.4529,12.896000000000017,5.125,,,,,0.2,8.9,54.9,31.4,4.6,,,,2023-07-26_00,2023-07-26
2023-07-26 00:00:05.676848,USIRP25F5=R,2024-01-31,False,False,5.3729,32.0,5.125,,,,0.1,3.0,23.6,47.4,22.8,3.1,,,,2023-07-26_00,2023-07-26
2023-07-26 00:00:05.676848,USIRP25F6=R,2024-03-20,False,False,5.2479,50.0,5.125,,,0.0,1.5,13.3,35.5,35.1,13.0,1.5,,,,2023-07-26_00,2023-07-26
2023-07-26 00:00:05.676848,USIRP25F7=R,2024-05-01,False,False,5.0929,62.0,5.125,,0.0,1.0,8.8,27.1,35.3,21.4,5.9,0.6,,,,2023-07-26_00,2023-07-26
2023-07-26 00:00:05.676848,USIRP25F8=R,2024-06-12,False,False,4.9155,70.972,5.125,0.0,0.7,6.5,21.8,32.9,25.4,10.4,2.1,0.2,,,,2023-07-26_00,2023-07-26
2023-07-26 00:00:05.676848,USIRP25F9=R,2024-07-31,False,False,4.738,71.00000000000001,5.125,0.5,4.8,17.4,29.7,27.6,14.7,4.5,0.7,0.0,,,0.0,2023-07-26_00,2023-07-26
2023-07-26 00:00:05.676848,USIRP25F10=R,2024-09-18,False,False,4.5405,79.0,5.125,3.9,14.7,27.1,28.0,17.4,6.7,1.5,0.2,0.0,,,0.4,2023-07-26_00,2023-07-26
2023-07-26 00:00:05.676848,USIRP25F11=R,2024-11-07,True,False,4.2755,106.0,5.125,,39.8,60.2,,,,,,,,,,2023-07-26_00,2023-07-26
